a52dec 0.8.0-2
aalib 1.4rc5-19
aardvark-dns 1.16.0-1
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.8-2
acpid 2.0.34-2
ada 3.2.7-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-sans-cn-fonts 2.005-1
adobe-source-han-sans-jp-fonts 2.005-1
adobe-source-han-sans-kr-fonts 2.005-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
akonadi 25.08.1-1
akonadi-calendar 25.08.1-1
akonadi-calendar-tools 25.08.1-1
akonadi-contacts 25.08.1-1
akonadi-import-wizard 25.08.1-1
akonadi-mime 25.08.1-1
akonadi-notes 24.08.3-2
akonadi-notes-debug 24.08.3-2
akonadi-search 25.08.1-1
akonadiconsole 25.08.1-1
akregator 25.08.1-1
alacritty 0.15.1-1
alligator 25.08.1-1
alsa-card-profiles 1:1.4.8-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.14-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
analitza 25.08.1-1
android-tools 35.0.2-19
android-udev 20250525-1
angelfish 25.08.1-1
ansible 12.0.0-1
ansible-core 2.19.2-1
aom 3.13.1-1
apachedirectorystudio 2.0.0.v20210717.17-2
apachedirectorystudio-debug 2.0.0.v20210717.17-2
apparmor 4.1.2-1
appimagelauncher-git r1335.0bcc75d-1
appimagelauncher-git-debug r1335.0bcc75d-1
appstream 1.1.0-1
appstream-glib 0.8.3-2
appstream-qt 1.1.0-1
appstream-qt5 1.0.5-2
apr 1.7.6-1
apr-util 1.6.3-2
arandr 0.1.11-4
arc-gtk-theme-eos 20221218-2
arc-x-icons-theme 2.1-3
archlinux-appstream-data 20250825-1
archlinux-keyring 20250807.1-1
archlinux-xdg-menu 0.7.6.6-2
argagg 0.4.7-3
argon2 20190702-6
arianna 25.08.1-1
aribb24 1.0.3-4
aribb25 0.2.7-3
ark 25.08.1-1
arm-none-eabi-binutils 2.43-1
arm-none-eabi-gcc 14.2.0-1
arm-none-eabi-newlib 4.5.0.20241231-1
artikulate 25.08.1-1
asciinema 3.0.0-2
asio 1.36.0-1
aspell 0.60.8.1-2
at-spi2-core 2.58.0-1
atkmm 2.28.4-1
attica 6.18.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiocd-kio 25.08.1-1
audiofile 0.3.6-11
audiotube 25.08.1-1
audit 4.0.5-1
aurorae 6.4.5-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
autorandr 1.15-1
avahi 1:0.9rc2-1
avogadro-crystals 1.101.0-1
avogadro-fragments 1.101.0-1
avogadro-molecules 1.101.0-1
avogadrolibs 1.101.0-1
avogadrolibs-qt 1.101.0-1
avr-binutils 2.43-1
avr-gcc 15.1.0-1
avr-libc 2.2.1-1
avrdude 1:8.1-1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
babl 0.1.114-1
baloo 6.18.0-1
baloo-widgets 25.08.1-1
baobab 49.0-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.16.0-1
bash-language-server 5.6.0-1
bat 0.25.0-4
bat-extras 2024.08.24-1
bc 1.08.2-1
bind 9.20.13-1
binutils 2.45+r29+g2b2e51a31ec7-1
bison 3.8.2-8
black-hole-solver 1.14.0-1
blas 3.12.1-2
blinken 25.08.1-1
bluedevil 1:6.4.5-1
blueman 2.4.6-1
bluez 5.84-1
bluez-libs 5.84-1
bluez-qt 6.18.0-1
bluez-qt5 5.116.0-1
bluez-tools 0.2.0-6
bluez-utils 5.84-1
bolt 0.9.10-1
bomber 25.08.1-1
boost 1.88.0-3
boost-libs 1.88.0-3
botan2 2.19.5-2
bottom 0.11.1-1
bovo 25.08.1-1
box2d 3.1.1-1
breeze 6.4.5-1
breeze-gtk 6.4.5-1
breeze-icons 6.18.0-1
breeze-plymouth 6.4.5-1
breeze5 6.4.5-1
bridge-utils 1.7.1-2
brltty 6.7-5
brotli 1.1.0-3
btrfs-progs 6.16.1-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.116-1
ca-certificates-utils 20240618-1
caffeine 2.9.14-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calendarsupport 25.08.1-1
calibre 8.7.0-2
cantarell-fonts 1:0.303.1-2
cantor 25.08.1-1
capitaine-cursors 4-3
catatonit 0.2.1-2
catppuccin-gtk-theme-frappe 1.0.3-1
catppuccin-gtk-theme-latte 1.0.3-2
catppuccin-gtk-theme-macchiato 1.0.3-1
catppuccin-gtk-theme-mocha 1.0.3-1
cblas 3.12.1-2
cdparanoia 10.2-9
cef-minimal 119.4.3-1
cef-minimal-obs-bin 2:127.3.4+ga0ca18e+chromium_127.0.6533.100_5-1
celluloid 0.29-1
celt 0.11.3-7
celt-debug 0.11.3-7
cervisia 25.04.3-2
cfitsio 1:4.6.2-1
chafa 1.16.2-1
checkbashisms 2.24.5-1
cheese 44.1-5
chmlib 0.40-9
chromaprint 1.6.0-1
chrono-date 3.0.4-1
chrpath 0.17-1
cifs-utils 7.4-1
cjson 1.7.19-1
clang 20.1.8-1
clang16 16.0.6-1
clang18 18.1.8-2
clang19 19.1.7-1
clinfo 3.0.23.01.25-1
clipit 1.4.5-3
clucene 2.3.3.4-16
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 4.1.1-1
cmark 0.31.1-1
cmatrix 2.0-4
cogl 1.22.8-3
colord 1.4.8-1
colord-kde 25.08.1-1
colord-sane 1.4.8-1
compiler-rt 20.1.8-1
compiler-rt16 16.0.6-1
compiler-rt18 18.1.8-1
compiler-rt19 19.1.7-1
composefs 1.0.8-1
confuse 3.3-4
conmon 1:2.1.13-1
containerd 2.1.4-1
containers-common 1:0.64.2-1
convertlit 1.8-13
coordgen 3.0.2-2
coreutils 9.7-1
cowsay 3.8.4-1
cpio 2.15-3
cppdap 1.58.0-2
criu 4.1.1-1
croc 1:10.2.5-1
cronie 1.7.2-2
crun 1.24-1
crush-bin 0.7.1-1
crush-bin-debug 0.7.1-1
cryptsetup 2.8.1-1
ctags 1:6.2.0-1
cups 2:2.4.14-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.16.0-1
cython 3.1.4-1
cython2-debug 0.29.37-1
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbeaver 25.2.1-1
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dconf 0.49.0-1
ddcutil 2.2.1-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.35-1
dex 0.9.0-2
dfu-programmer 1.1.0-1
dfu-util 0.11-3
dhclient 4.4.3.P1-4
dialog 1:1.3_20250116-1
difftastic 0.64.0-2
diffutils 3.12-2
ding-libs 0.6.2-2
dino 0.5.0-3
discord 1:0.0.111-1
discount 3.0.0.d-1
discover 6.4.5-1
djvulibre 3.5.29-1
dkms 3.2.2-1
dmenu 5.4-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20250524-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:28.4.0-1
docker-buildx 0.28.0-1
docker-compose 2.39.4-1
dolphin 25.08.1-1
dolphin-plugins 25.08.1-1
dosfstools 4.2-5
dotconf 1.4.1-1
dotnet-host 9.0.9.sdk110-1
dotnet-runtime 9.0.9.sdk110-1
double-conversion 3.3.1-1
downgrade 11.5.4-1
doxygen 1.14.0-1
dragon 25.08.1-1
drkonqi 6.4.5-1
duktape 2.7.0-7
dunst 1.13.0-1
dust 1.2.3-1
e2fsprogs 1.47.3-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
electron 1:38-1
electron13 13.6.9-3
electron15 15.5.7-1
electron17 17.4.11-6
electron18 18.3.15-4
electron19 19.1.9-5
electron21 21.4.4-1
electron31 31.7.7-4
electron34 34.5.8-1
electron35 35.7.5-1
electron36 36.9.1-1
electron37 37.5.1-1
electron38 38.1.2-1
element 0.46.6-2
element-desktop 1.11.112-1
element-web 1.11.112-1
elementary-icon-theme 8.1.0-1
elfutils 0.193-5
elisa 25.08.1-1
ell 0.79-1
emacs 30.2-1
enchant 2.8.12-1
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.7-1
endeavouros-skel-default 1.9-1
endeavouros-skel-xfce4 3.7-1
endeavouros-xfce4-terminal-colors 6-1
entr 5.7-1
eog 47.0-3
eos-apps-info 25-1
eos-bash-shared 25.9.12-1
eos-breeze-sddm 25.02.1.1-1
eos-hooks 1.16-1
eos-log-tool 25.5-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.9.1-1
eos-settings-plasma 1.9-2
eos-translations 25.8-1
eos-update-notifier 24.7.1-1
espeak-ng 1.52.0-1
ethtool 1:6.15-1
eventviews 25.08.1-1
evince 1:48.1-1
exempi 2.6.6-2
exfat-utils 1.4.0-4
exiv2 0.28.7-1
exo 4.20.0-2
expac 10-11
expat 2.7.2-1
expect 5.45.4-5
extra-cmake-modules 6.18.0-1
eza 0.23.3-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
falkon 25.08.1-1
fastfetch 2.52.0-1
faudio 25.08-1
faudio-debug 25.08-1
fcft 3.3.2-1
fd 10.3.0-1
feh 3.11.2-1
ffcall 2.5-1
ffmpeg 2:7.1.1-5
ffmpeg4.4 4.4.6-2
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 25.08.1-1
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-5
file-roller 44.5-1
filelight 25.08.1-1
filesystem 2025.05.03-1
findutils 4.10.0-3
firefox 143.0.1-1
fish 4.0.8-1
flac 1.5.0-1
flameshot 13.1.0-1
flashrom 1.6.0-1
flatpak 1:1.16.1-1
flatpak-kcm 6.4.5-1
flex 2.6.4-5
fluidsynth 2.4.8-1
fmt 11.2.0-1
font-manager 0.9.4-2
fontconfig 2:2.17.1-1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-2
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
foot 1.24.0-1
frameworkintegration 6.18.0-1
frameworkintegration5 5.116.0-2
freecell-solver 6.14.0-1
freeglut 3.6.0-2
freerdp 2:3.17.2-1
freetype2 2.14.1-1
frei0r-plugins 2.4.0-1
fribidi 1.0.16-2
fsarchiver 0.8.8-1
ftgl 2.4.0-3
fuse-common 3.17.1-1
fuse2 2.9.9-5
fuse3 3.17.1-1
futuresql 0.1.1-3
fuzzel 1.13.1-1
fwupd 2.0.16-1
fwupd-efi 1.7-1
fzf 0.65.2-1
galculator 2.1.4-10
garcon 4.20.0-2
gavl 1.4.0-9
gawk 5.3.2-1
gc 8.2.8-2
gcab 1.6-2
gcc 15.2.1+r22+gc4e96a094636-1
gcc-libs 15.2.1+r22+gc4e96a094636-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.26-1
gdk-pixbuf2 2.44.2-1
geckodriver 0.36.0-1
gedit 48.2-1
gedit-duplicate-line 0.2.0-1
gedit-markdownpreview-git r26.b82dcc8-1
gedit-panel-toggler 0.2.0-1
gedit-plugin-markdown_preview 3.0-1
gedit-plugins 48.2-1
gedit-scroll-past 0.2.0-1
gedit-source-code-browser-git r27.e43d914-1
gegl 0.4.62-3
geoclue 2.8.0-1
geocode-glib 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20250129-1
gettext 0.26-1
ghc 9.4.8-1
ghc-libs 9.4.8-1
ghostscript 10.06.0-1
ghostty 1.2.0-1
ghostty-shell-integration 1.2.0-1
ghostty-terminfo 1.2.0-1
ghostwriter 25.08.1-1
giflib 5.2.2-2
gimp 3.0.4-5
gist 6.0.0-2
git 2.51.0-1
git-delta 0.18.2-4
github-cli 2.80.0-1
gklib 5.1.1-4
glances 4.3.3-1
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.86.0-2
glib2-devel 2.86.0-2
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.1-1
glow 2.1.1-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
glycin 2.0.0-4
gmp 6.3.0-2
gn 0.2238.a84e399f-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-calculator 49.0.1-1
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-online-accounts 3.56.0-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-video-effects 1:0.6.0-2
gnu-netcat 0.7.1-11
gnugo 3.8-8
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnustep-base 1.31.1-1
gnutls 3.8.10-1
go 2:1.25.1-2
go-tools 4:0.37.0-1
gobject-introspection-runtime 1.86.0-1
gocryptfs 2.6.1-1
google-chrome 139.0.7258.154-1
gperf 3.1-5
gperftools 2.17.2-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
gptfdisk 1.0.10-1
granatier 25.08.1-1
grantlee 5.3.1-2
grantlee-editor 25.08.1-1
grantleetheme 25.08.1-1
graphene 1.10.8-2
graphicsmagick 1.3.45-5
graphite 1:1.3.14-5
graphviz 13.1.2-1
grep 3.12-2
grex 1.4.5-1
groff 1.23.0-7
gromit-mpx-git 1.7.0.r7.ga982685-1
gromit-mpx-git-debug 1.7.0.r7.ga982685-1
grub 2:2.12.r359.g19c698d12-1
grub-tools 1.6.9-2
grub2-theme-endeavouros 20220602-1
gsettings-desktop-schemas 49.0-1
gsettings-system-schemas 49.0-1
gsfonts 20200910-5
gsimplecal 2.5.2-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.6-2
gst-plugin-gtk 1.26.6-2
gst-plugin-pipewire 1:1.4.8-2
gst-plugin-qml6 1.26.6-2
gst-plugins-bad 1.26.6-2
gst-plugins-bad-libs 1.26.6-2
gst-plugins-base 1.26.6-2
gst-plugins-base-libs 1.26.6-2
gst-plugins-good 1.26.6-2
gst-plugins-ugly 1.26.6-2
gstreamer 1.26.6-2
gtest 1.17.0-1
gthumb 3.12.8-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.20.1-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
